rank,title,author,rating,reviews,price,url,description,publisher,publication_date
16,Zodiac Academy 7: Heartless Sky,Caroline Peckham,4.4,64358.0,,/Zodiac-Academy-7-Caroline-Peckham-ebook/dp/B08R14G8QV/ref=zg_bs_g_6190484011_d_sccl_16/132-4763799-3799248?psc=1,"The winds of fate are shifting. And it finally seems like they’ve been twisted in our favour. On the run and cast out from society, we’ve been forced to hide from the mad man who stole our throne. But as more secrets come to light and my sister and I work harder than ever before to reach our potential and claim our birth right, the end is finally drawing closer. There is no turning from this path now. The curse chases on our heels as time rushes by and the blood drenched destiny of the man I love looms ever closer just like the monster who stole our throne. We must prepare for the final battle, but three things are clear now. The cards have already been dealt. Blood will spill for a new future to rise. And the stars themselves can’t help us. The fight for the throne is upon us. All hail the heartless sky. Read less",King's Hollow,"December 18, 2021"
17,Kiss of the Basilisk: A Split or Swallow Novel,Lindsay Straube,4.1,27738.0,,/Kiss-Basilisk-Split-Swallow-Novel-ebook/dp/B0DMX89R8T/ref=zg_bs_g_6190484011_d_sccl_17/132-4763799-3799248?psc=1,"From internet sensation Lindsay Straube comes the first in a searing romantasy series where survival demands submission, and desire is the most dangerous game of all. Temperance Verus has never been kissed—not exactly ideal for a girl competing in the palace's most closely watched matchmaking ritual. Every year, a select group is invited to bond with the realm's magical basilisks and train in the art of charm, poise, and influence. The prize? A chance to win the prince's favor—and a life of privilege. Tem expects rules, gowns, and etiquette. She doesn't expect her assigned partner to be Caspen—the Serpent King, commanding, mysterious, and anything but safe. As he pushes her to unlock the strength she never knew she had, Tem finds herself drawn into something deeper, stranger, and far more powerful than royal approval. But not all bonds are built for the court, and some secrets are meant to break them. Readers call it ""feral, spicy, and unforgettably bold."" For fans of morally grey monsters, slow-burn fantasy romance, and stories that subvert the fairytale script.",Bloom Books,"February 25, 2025"
18,"Immortal by Morning: An Argeneau Vampire Romance Where a Detective Finds Murder, Mystery, and His Destined Life Mate (An Argeneau Novel Book 37)",Lynsay Sands,4.5,1899.0,,/Immortal-Morning-Halloween-Paranormal-Vampires-ebook/dp/B0DL9V9M5S/ref=zg_bs_g_6190484011_d_sccl_18/132-4763799-3799248?psc=1,"Being an immortal rogue enforcer is never easy. But when human bones are found buried in a residential garden—and they happen to be discovered by your life mate—things get even more complicated in this latest paranormal romance installment of New York Times bestselling author Lynsay Sands’s wickedly alluring Argeneau vampire series. Crispinus Delacort is an immortal rogue enforcer and a homicide detective. But in his quiet city, he’s more likely to be rounding up truant teens than investigating murders. So, when he learns that human bones have been found in the garden of a sprawling rural home, kicking off a paranormal mystery, it’s unexpected to say the least. Abril Newman can’t believe her bad luck when she discovers a body buried on the grounds of her boss’s home, while chasing after Gina’s mischievous lab Lilith. She was just supposed to be house-sitting for a few days! And then Detective Delacort arrives. She knows she shouldn’t be thinking about love when there’s a crime scene outside the door. But ignoring her instant, fated mates attraction to gorgeous Crispin is easier said than done. When Crispin realizes that a rogue is involved in this steamy romance, he knows this won’t be a simple investigation. Especially because he’s so distracted by Abril’s presence that all he wants is to kiss her senseless in every room of the manor. But he can woo her, solve the case, and stop a dangerous rogue by morning...right? All in a day’s work. A great read for spooky-season nights A perfect addition to any Halloween reading list Read less",Avon,"July 29, 2025"
19,The Lies that Summon the Night: A Novel,Tessonja Odette,4.6,279.0,,/Lies-that-Summon-Night-Novel-ebook/dp/B0FJX47F4X/ref=zg_bs_g_6190484011_d_sccl_19/132-4763799-3799248?psc=1,"Lies, beauty, and seduction mingle in the first book of an enthralling romantasy series where making art is considered a sin, and the shadows born from it aren't the only danger to the creators—from the bestselling author of Curse of the Wolf King . “Tessonja Odette has crafted a gorgeous, fast-paced tale of revenge and heartbreak while giving us a spicy, swoony romance that is sure to have you lusting until the very last page.”—Nisha J. Tuli, author of Trial of the Sun Queen From the art of liars, the monsters came . . . Ever since art gave life to bloodthirsty shadows, creative works have been forbidden and talented creators sacrificed to the Sinless—the immortal royals who feast on human blood in return for their protection. Inana’s secret storytelling nearly got her killed once, and she’ll be damned if she’s ever caught again. With a bounty on her head, she keeps to the city’s dark underbelly, where she earns a meager living from thrill-seeking patrons desperate to hear her illicit fiction. Until Dominic, a Shadowbane, catches one of her performances. Dominic is a half-Sinless monster hunter as fearsome as his prey. But to complete his hunt, he needs an artist to summon the shadows . . . he needs Inana. Dominic delivers an ultimatum: Serve him or he’ll claim her bounty. When survival is all Inana has left, the choice is clear—at least until she can betray him and leave him for dead. As their tense alliance leads them into the heart of danger, dark secrets unravel—about each other, their world, and the threats they face. But the greatest risk of all is the desire growing between them. There’s something more sinful than lust at play, and it could bring the world to its knees.",Dell,"February 3, 2026"
20,"Eyes of Devious Burgundy: Deathcaller Duet, Book 1 (An Age of War and Prophecy)",Lacey Lehotzky,,3293.0,,/Eyes-Devious-Burgundy-Deathcaller-Prophecy-ebook/dp/B0DJSCN35B/ref=zg_bs_g_6190484011_d_sccl_20/132-4763799-3799248?psc=1,"In the midst of war, love might be the deadliest weapon of all. For ten long years, Angels and Demons have waged a brutal war, with one man standing between the Demons and total annihilation: Rokath, the cruel and merciless general feared for his power to raise the dead. A prophecy whispers of a woman with eyes of devious burgundy who will shift the balance of power, but Rokath has plans of his own. After a deadly plague wipes out millions of Demons across the realm, Rokath issues an unforgiving command—every family must send one male to the front or face being put to the sword. Assyria, a sharp-tongued, burgundy-eyed farmgirl, is trapped in an abusive marriage to a nobleman who only values her for the power she could give their offspring. Her life unravels when Rokath’s soldiers arrive with the decree. A violent clash leaves her covered in blood—and running for her life. With her rare magic, she assumes the form of her slain husband and marches off to war, hiding among the very men she’s sworn to hate for killing her family. In a society where women must remain veiled and pure, Assyria's survival hinges on secrecy. Yet nothing can prepare her for the sharp, sinister gaze of Rokath, whose punishments for disobedience are swift and savage. When their paths cross, fate sets into motion a dangerous chain of events neither of them can control. With tension crackling between them and thousands of lives balanced on a knife’s edge, will their unlikely connection ignite salvation for the Demons—or doom them to destruction? Eyes of Devious Burgundy is the first book in the Deathcaller Duet, a slow meet, hate-to-love, banter-filled high dark fantasy romance with a vicious, dangerous MMC and a fiery FMC. Perfect for fans of A Choice of Light and Dark, Carissa Broadbent, and LJ Andrews. An Age of War and Prophecy is a series of interconnected duets and standalones centering around the world-altering events of the Great War between the Angels and Demons. While each book or duet has its own romance plot, the war plot requires full series commitment. AAOWAP contains mature, dark themes that some readers might find disturbing. A full TW list is available on the author’s website. Read less",The Lehotzky Group LLC,"February 27, 2025"
21,Undeniably His Mate,Roxie Ray,4.4,891.0,,/Undeniably-His-Mate-Roxie-Ray-ebook/dp/B0GFVSDGNJ/ref=zg_bs_g_6190484011_d_sccl_21/132-4763799-3799248?psc=1,"The moment I scent her, everything in me goes still. Not because she’s beautiful—though she is. Not because she’s hurt—though the blood on her skin makes something savage in me rise. But because that blood carries a truth she doesn’t know: She’s not human. And she’s mine. She wakes afraid, confused, certain she’s just an ordinary woman who got caught in the wrong place at the wrong time. I wish she were. It would make protecting her easier. It would make walking away possible. But nothing about her is ordinary—not her scent, not her presence, not the way my wolf reacts when she looks at me. My pack feels it too. So do the ones hunting her. Someone wants her dead because of a past she can’t remember, a bloodline she doesn’t know she carries, and a legacy that should have died generations ago. I don’t know the full truth yet. I only know this: Whatever she is becoming, whoever she really is—I will protect her. This volume contains all four books in the Fated to Royalty series, bundled together for ease and continuity. Whether you’re discovering the series for the first time or returning to read it straight through, this edition lets you enjoy the entire story without interruption.",Special Fiction Books,"January 9, 2026"
22,Stalked by Seduction and Shadows (Eternal Obsession Book 1),Maggie Sunseri,,9053.0,,/Stalked-Seduction-Shadows-Eternal-Obsession-ebook/dp/B0CQRD3V1Y/ref=zg_bs_g_6190484011_d_sccl_22/132-4763799-3799248?psc=1,"A dark stalker fantasy romance in a city of warring vampire clans, perfect for fans of Haunting Adeline , From Blood and Ash , and Gild . Scarlett I am an object of desire. My powers of seduction are my survival, my weapon, and my curse. I’m no stranger to obsession, but for the first time, I crave it. I love when he watches me, follows me, hunts me. In the mortal lands, I was safe from him. Navigating a city of ruthless vampires to save my sister from the human slave trade was already treacherous. But with the ruling vampire lord’s unrelenting focus on me, I fear his shadows might never let me go. Rune I’ve always watched her. But now I more than desire her; I thirst for her. She is my addiction, my soul, my Little Flame. I tried to let her go, but she found her way back to me, and I’ve taken that as permission. I’ll claim her in front of the whole world if that’s what it takes to protect what’s mine. As war and upheaval threaten the city I have ruled for centuries, it is this vulnerable, tempting human who poses the biggest threat of all. I might be Scarlett’s worst nightmare, but this little seductress will be my very undoing. Stalked by Seduction and Shadows is the first book in a dark fantasy romance duet featuring a morally gray, obsessed hero, a seductress heroine, shadow magick, vampire clans, and love written in the stars. ~~~~~ This book ends on a cliffhanger. Content warnings can be found on the author's website. Read less",,"January 11, 2024"
23,The Tyrant Alpha's Fated Chase: A Fake Marriage Forbidden Love Wolf Shifter Romance,Jennifer Eve,4.3,557.0,,/Tyrant-Alphas-Fated-Chase-Forbidden-ebook/dp/B0G4D3BWPC/ref=zg_bs_g_6190484011_d_sccl_23/132-4763799-3799248?psc=1,"I spent one forbidden night with my fiancé’s brother—my fated mate. Five years later, I walked into his wedding. Worse? He's my new boss, and my secret baby daddy. I was the cursed Omega no one wanted, bullied by my sisters, shamed by my father, treated like a stain on the pack. Becoming the Regent’s wife was supposed to be my only way out— until my wolf chose his brother instead. Hayden Drake. Cold. Dangerous. Feared. My fated mate. He carried me through my first shift, kissed me like fate had claimed us, then threw me away by morning. So I ran—pregnant. I rebuilt my life in a new pack, built a career I loved— Until I walk into a wedding…and the groom is my son’s father. And Hayden? He cancels the marriage. then buys my entire company just to corner me in his office. The bond still burns between us, but I’m hiding one truth about our baby. And my real identity? It might ignite a war that could cost us everything.",,"December 10, 2025"
24,The Silversmith: A totally addictive fantasy romance (The Selvaren Book 1),LJ Claren,,9991.0,,/Silversmith-totally-addictive-fantasy-Selvaren-ebook/dp/B0FV6P4B9M/ref=zg_bs_g_6190484011_d_sccl_24/132-4763799-3799248?psc=1,"She was born to save this world. But falling in love will destroy it. Still reeling from the mysterious deaths of her father and brother, Ary Gold survives only by sheer will in the icy wilds of the North. But when strangers arrive with stories of long-lost magic, Ary is thrust into a fate far larger than her sorrow. The realm of Nyrida is under threat. An ancient shadow wielder has risen, determined to plunge the world into corrupted darkness. And Ary is the only one who can stop him. They say she has royal blood. That magic runs in her veins. That she is already promised in marriage—to a powerful commander whose army is her only hope of winning the coming war. But her fiercest challenge will not be on the battlefield… Assigned to shape her into a warrior is a man cloaked in violence and secrets. Cold, arrogant, and maddeningly unreadable, he isn’t her betrothed—but he may be her undoing… Ary is powerless to resist the impossible attraction building between them. Will she follow her destiny? Or risk everything for a love as wild and dangerous as the power that’s awakening inside her? Shadows are closing in. Love is the greatest threat of all. And the fate of the world rests in the hands of a grieving girl who never asked to be chosen.",Second Sky Accessibility,"October 14, 2025"
25,Destined Mate (Twisted Fate Trilogy Book 1),Jen L. Grey,4.5,10884.0,,/Destined-Mate-Twisted-Fate-Trilogy-ebook/dp/B0CBQWL5XY/ref=zg_bs_g_6190484011_d_sccl_25/132-4763799-3799248?psc=1,"Fate stripped everything from me and forced me to face my worst nightmare. As the adopted and weakest member of my pack, I’ve always been an outcast and mistreated, especially since I've never been able to shift into my animal form. Every time I try to find a way to escape my personal hell, my pack leader stops me, vowing that I'll never be free from him. Then the worst happens. A group of my pack members attack me. Alone, outnumbered, and stuck in my human form, I'll fight for my life even though there’s no hope for survival. Until a group of unfamiliar wolves come to my aid. The sexiest and strongest of them, Bodey, is adamant to protect me. And something inside me tugs toward him almost unnaturally. But it turns out things aren't what they seem. There might be something more to my past than I knew . . . and Bodey might be the very person I need protecting from. Get this steamy and suspenseful forced proximity, touch her and unalive, broody male, fated mates, royal wolf shifter romance today! Read less","Grey Valor Publishing, LLC","September 14, 2023"
26,Riftborn: A Post Apocalyptic Urban Fantasy (Of Sorrows and Blades Book 1),Shannon Mayer,4.8,317.0,,/Riftborn-Apocalyptic-Fantasy-Sorrows-Blades-ebook/dp/B0GQJJ2533/ref=zg_bs_g_6190484011_d_sccl_26/132-4763799-3799248?psc=1,"I do not know my name. I do not know how I ended up in a world of broken continents and broken souls. What I do know is how to survive. How to fight. How to kill monsters with a precision that borders on magic. My memories are gone, stripped down to ash, but my body remembers things my mind cannot. Training. Instinct. Violence refined into something lethal and elegant. And beneath it all, a relentless drive to uncover the truth of who I was. One man stands in my way. Veyyr. His magic is unlike anything I’ve ever encountered, and the pull between us is undeniable. He knows me. Knows my past. Knows the name I no longer remember. And he refuses to tell me. Bound to his world and his secrets, I follow him into the wilds of a fractured land. A journey I have no reason to take. No stakes in. Except this. The deeper we go, the clearer it becomes that survival is no longer enough. The path forward runs through me. Through what I’ve forgotten and must remember. And if I don’t reclaim the truth of who I am… This broken world may claim us both. Read less",Hijinks Ink Publishing,"February 27, 2026"
27,The Alpha King's Queen: A Rejected Mate Werewolf Romance,Eloise Benjamin,4.5,3662.0,,/Alpha-Kings-Queen-Eloise-Benjamin-ebook/dp/B0DKXV4W7G/ref=zg_bs_g_6190484011_d_sccl_27/132-4763799-3799248?psc=1,"Gathering of the Eastern Packs . A mandate I cannot refuse. And one that changes my life forever. Ava I’m a rogue. Happily have been since the age of eighteen when my mate, and the Alpha of my old pack, rejected me. Living amongst the humans for the last nine years with my bestie and staying far away from the werewolf world that showed me nothing but abuse and heartache changes with one event and one sniff. The King of the Werewolves, my second chance fated mate… strong, dominant, and the sexual tension between us is off the charts. But with wet panties comes the bubbling up of long-hidden secrets and a man I would rather forget, The Butcher. I have something he wants, and he will stop at nothing to get it. Braiden At thirty-four years old and still, with no fated mate in sight, I have finally chosen my Queen, a carbon copy of my mother. Until I scent her. My mate, the white wolf, is an exact match to my black one. She just has to realize it. My Queen wants none of this world, her past standing in our way, along with secrets that reveal our connection long before now. With every fiery interaction, I can feel her resistance crumbling. Soon, she will see that there is no escape. She is mine . She is The Alpha King’s Queen.",Eloise Benjamin,"October 31, 2024"
